2023-07-23 13:43:12,344 Start Time:
2023-07-23 13:43:12,344 20230723-134312
2023-07-23 13:57:00,388 [15,    76] loss: 0.2257
2023-07-23 13:57:00,500 [15,    80] loss: 0.3024
2023-07-23 13:57:30,140 [16,     4] loss: 0.2282
2023-07-23 13:57:30,256 [16,     8] loss: 0.3456
2023-07-23 13:57:30,370 [16,    12] loss: 0.2608
2023-07-23 13:57:30,481 [16,    16] loss: 0.2664
2023-07-23 13:57:30,594 [16,    20] loss: 0.2733
2023-07-23 13:57:30,704 [16,    24] loss: 0.2607
2023-07-23 13:57:30,815 [16,    28] loss: 0.2965
2023-07-23 13:57:30,925 [16,    32] loss: 0.3637
2023-07-23 13:57:31,037 [16,    36] loss: 0.2476
2023-07-23 13:57:31,149 [16,    40] loss: 0.3637
2023-07-23 13:57:31,261 [16,    44] loss: 0.3047
2023-07-23 13:57:31,373 [16,    48] loss: 0.2540
2023-07-23 13:57:31,483 [16,    52] loss: 0.2679
2023-07-23 13:57:31,596 [16,    56] loss: 0.3876
2023-07-23 13:57:31,708 [16,    60] loss: 0.1800
2023-07-23 13:57:31,820 [16,    64] loss: 0.3140
2023-07-23 13:57:31,930 [16,    68] loss: 0.4504
2023-07-23 13:57:32,042 [16,    72] loss: 0.3521
2023-07-23 13:57:32,153 [16,    76] loss: 0.2291
2023-07-23 13:57:32,264 [16,    80] loss: 0.2883
2023-07-23 13:58:01,922 [17,     4] loss: 0.2947
2023-07-23 13:58:02,038 [17,     8] loss: 0.2803
2023-07-23 13:58:02,149 [17,    12] loss: 0.2529
2023-07-23 13:58:02,261 [17,    16] loss: 0.1859
2023-07-23 13:58:02,373 [17,    20] loss: 0.3185
2023-07-23 13:58:02,483 [17,    24] loss: 0.3186
2023-07-23 13:58:02,595 [17,    28] loss: 0.2577
2023-07-23 13:58:02,707 [17,    32] loss: 0.3529
2023-07-23 13:58:02,819 [17,    36] loss: 0.2311
2023-07-23 13:58:02,931 [17,    40] loss: 0.2378
2023-07-23 13:58:03,042 [17,    44] loss: 0.2345
2023-07-23 13:58:03,153 [17,    48] loss: 0.2224
2023-07-23 13:58:03,266 [17,    52] loss: 0.4286
2023-07-23 13:58:03,378 [17,    56] loss: 0.2646
2023-07-23 13:58:03,490 [17,    60] loss: 0.3722
2023-07-23 13:58:03,603 [17,    64] loss: 0.3340
2023-07-23 13:58:03,716 [17,    68] loss: 0.3302
2023-07-23 13:58:03,829 [17,    72] loss: 0.2395
2023-07-23 13:58:03,940 [17,    76] loss: 0.2703
2023-07-23 13:58:04,052 [17,    80] loss: 0.3277
2023-07-23 13:58:33,712 [18,     4] loss: 0.1326
2023-07-23 13:58:33,832 [18,     8] loss: 0.5495
2023-07-23 13:58:33,944 [18,    12] loss: 0.3038
2023-07-23 13:58:34,067 [18,    16] loss: 0.2185
2023-07-23 13:58:34,183 [18,    20] loss: 0.3965
2023-07-23 13:58:34,298 [18,    24] loss: 0.1774
2023-07-23 13:58:34,422 [18,    28] loss: 0.4662
2023-07-23 13:58:34,541 [18,    32] loss: 0.3419
2023-07-23 13:58:34,656 [18,    36] loss: 0.2351
2023-07-23 13:58:34,768 [18,    40] loss: 0.3742
2023-07-23 13:58:34,879 [18,    44] loss: 0.2471
2023-07-23 13:58:34,993 [18,    48] loss: 0.3293
2023-07-23 13:58:35,109 [18,    52] loss: 0.1566
2023-07-23 13:58:35,220 [18,    56] loss: 0.2763
2023-07-23 13:58:35,330 [18,    60] loss: 0.1529
2023-07-23 13:58:35,441 [18,    64] loss: 0.2450
2023-07-23 13:58:35,554 [18,    68] loss: 0.2273
2023-07-23 13:58:35,667 [18,    72] loss: 0.1748
2023-07-23 13:58:35,778 [18,    76] loss: 0.2792
